Frequency,S11_Real,S11_Imaginary,
1000000,0.999640067,-0.06512677263,
6999000,0.8977338577,-0.4249731949,
12998000,0.6771446186,-0.7247848083,
18997000,0.3610415228,-0.9216178367,
24996000,-0.004331823915,-0.9838402703,
30995000,-0.3610083556,-0.904621622,
36994000,-0.658457292,-0.7016543155,
42993000,-0.8566176405,-0.4094523559,
48992000,-0.934034649,-0.07148180687,
54991000,-0.8858933742,0.2664608285,
60990000,-0.7221241618,0.5600049628,
66989000,-0.4677918438,0.7750230983,
72988000,-0.1561472641,0.8845246931,
78987000,0.1724627517,0.8770143772,
84986000,0.4770339943,0.7537167848,
90985000,0.7177389319,0.5299243805,
96984000,0.8627271732,0.2339549751,
102983000,0.8914377107,-0.09489370495,
108982000,0.7987099455,-0.4129002314,
114981000,0.5963149138,-0.6759207744,
120980000,0.3131683966,-0.8460078629,
126979000,-0.01232234763,-0.9011141968,
132978000,-0.3330504929,-0.8339944571,
138977000,-0.6053853296,-0.6564262523,
144976000,-0.7937975244,-0.3952181,
150975000,-0.874998857,-0.08626798269,
156974000,-0.8407576332,0.2290851187,
162973000,-0.6971667614,0.5096825719,
168972000,-0.464148561,0.7200454697,
174971000,-0.1722522005,0.832790655,
180970000,0.1410389662,0.8340783806,
186969000,0.4338720544,0.722353826,
192968000,0.6673981326,0.512551086,
198967000,0.8090094165,0.2317283523,
204966000,0.8387328016,-0.08206251654,
210965000,0.7522466947,-0.3840938041,
216964000,0.5616668347,-0.6329448216,
222963000,0.2947869805,-0.7944220099,
228962000,-0.01003233271,-0.8478583412,
234961000,-0.311249751,-0.7875355464,
240960000,-0.5683623851,-0.6245516466,
246959000,-0.7486499793,-0.3826193166,
252958000,-0.8305077476,-0.09506798273,
258957000,-0.8055805115,0.2008251748,
264956000,-0.678386083,0.4682477153,
270955000,-0.4657737483,0.6725371716,
276954000,-0.194330952,0.7884383992,
282953000,0.1003853967,0.8001077823,
288952000,0.3812778597,0.7056763138,
294951000,0.6102571199,0.516310872,
300950000,0.7556933175,0.2557891388,
306949000,0.7967757959,-0.04005956471,
312948000,0.7264940215,-0.3312281939,
318947000,0.555739334,-0.575874055,
324946000,0.3084185831,-0.7404791128,
330945000,0.01999356814,-0.8036705771,
336944000,-0.270315634,-0.7584779945,
342943000,-0.5221097179,-0.6134003697,
348942000,-0.7043434801,-0.3894759359,
354941000,-0.7944953828,-0.1173158916,
360940000,-0.7824908968,0.1675221616,
366939000,-0.6715513182,0.428347358,
372938000,-0.4754503367,0.6336792098,
378937000,-0.2199370123,0.7554027331,
384936000,0.06307810239,0.7791935831,
390935000,0.336803796,0.7005056745,
