Frequency,S11_Real,S11_Imaginary,
1000000,-0.9804965904,0.06807192879,
6999000,-0.8578537087,0.434524105,
12998000,-0.6228599335,0.7047788108,
18997000,-0.3216585763,0.8694742234,
24996000,0.01371232368,0.9217324302,
30995000,0.3451248223,0.8531786286,
36994000,0.6312834791,0.6719288001,
42993000,0.8356560265,0.3981075845,
48992000,0.9269166724,0.06679141107,
54991000,0.8912432673,-0.2761914427,
60990000,0.7313383163,-0.5843174334,
66989000,0.4690061308,-0.8116818489,
72988000,0.1415846156,-0.9258117637,
78987000,-0.2031138382,-0.9104945471,
84986000,-0.5151463547,-0.7708325639,
90985000,-0.7520555516,-0.5287128917,
96984000,-0.8832379362,-0.2205587757,
102983000,-0.8941210507,0.1101621869,
108982000,-0.7866976684,0.4200798541,
114981000,-0.5771065878,0.6689330791,
120980000,-0.294595193,0.8256245904,
126979000,0.02467655139,0.8711203636,
132978000,0.3381495445,0.8000296655,
138977000,0.6058605063,0.6207921145,
144976000,0.7911153231,0.3566800577,
150975000,0.8683862454,0.04299156998,
156974000,0.8264344946,-0.2779606626,
162973000,0.6705119853,-0.560955164,
168972000,0.4230007529,-0.7669128156,
174971000,0.118339056,-0.8675941734,
180970000,-0.1992107568,-0.8513518181,
186969000,-0.4875067968,-0.7223662327,
192968000,-0.7078280619,-0.5003600604,
198967000,-0.8335125084,-0.2165655305,
204966000,-0.8498706222,0.09060609552,
210965000,-0.7569500849,0.3817622254,
216964000,-0.5673976353,0.6208820184,
222963000,-0.3065258346,0.7766097105,
228962000,-0.006758198462,0.8294780739,
234961000,0.2930945865,0.771634842,
240960000,0.5525662243,0.6097666378,
246959000,0.7371074614,0.3636161207,
252958000,0.8197951872,0.06664980925,
258957000,0.7877168011,-0.2405841803,
264956000,0.6456658693,-0.5144634212,
270955000,0.4134795723,-0.7165896042,
276954000,0.125197639,-0.8193605481,
282953000,-0.178662563,-0.8096863741,
288952000,-0.4558185786,-0.6920604313,
294951000,-0.6697673788,-0.4843409066,
300950000,-0.7944870383,-0.2158660472,
306949000,-0.8152975712,0.07694387624,
312948000,-0.7314752176,0.356336046,
318947000,-0.5547674819,0.5865216577,
324946000,-0.30907921,0.7390360538,
330945000,-0.02540443146,0.7942862231,
336944000,0.2598268552,0.7452569273,
342943000,0.5092108099,0.5965790112,
348942000,0.6889177632,0.3675682827,
354941000,0.7731252519,0.08842756651,
360940000,0.7503441527,-0.2019954274,
366939000,0.62291436,-0.4640778638,
372938000,0.40918337,-0.6613364214,
378937000,0.1397830554,-0.766107905,
384936000,-0.1474524896,-0.7655584574,
390935000,-0.4129809449,-0.6618999761,
396934000,-0.6217239668,-0.4707932619,
402933000,-0.7473558661,-0.2193113528,
408932000,-0.7744612636,0.05836954443,
414931000,-0.7013433619,0.326080826,
420930000,-0.5380451508,0.5498281475,
426929000,-0.3063267977,0.7006084877,
432928000,-0.03575900248,0.758955348,
438927000,0.23821429,0.7161811998,
444926000,0.478895105,0.5776412316,
450925000,0.6538914257,0.3607978805,
456924000,0.7382511945,0.09562719903,
462923000,0.7199574296,-0.1823934073,
468922000,0.602334146,-0.434143091,
474921000,0.4021211245,-0.6248433208,
480920000,0.1474369268,-0.729335006,
486919000,-0.125549558,-0.735122553,
492918000,-0.3803810362,-0.6425859399,
498917000,-0.5844674348,-0.4666624123,
504916000,-0.7108792793,-0.2310019762,
510915000,-0.7457654586,0.03329381218,
516914000,-0.6846737593,0.2913302941,
522913000,-0.5362810372,0.5108349237,
528912000,-0.3196224686,0.6638736851,
534911000,-0.06190120952,0.729111325,
540910000,0.2035669753,0.6980872419,
546909000,0.4402586476,0.5728060125,
552908000,0.6162626606,0.3698018241,
558907000,0.7063308325,0.1160889485,
564906000,0.6980781382,-0.1525076643,
570905000,0.5927839383,-0.399221077,
576904000,0.4056881253,-0.5894926178,
582903000,0.1645293053,-0.6988719763,
588902000,-0.09736396731,-0.7139722177,
594901000,-0.3455532814,-0.6352122494,
600900000,-0.5477268581,-0.4750711511,
606899000,-0.679980576,-0.2557905781,
612898000,-0.7261626029,-0.005712466803,
618897000,-0.682272572,0.2437216322,
624896000,-0.5544326244,0.4620197324,
630895000,-0.3575885156,0.6215039178,
636894000,-0.1166934177,0.7016773492,
642893000,0.1381915385,0.6911449425,
648892000,0.3736556182,0.5899425552,
654891000,0.5579409945,0.4096958703,
660890000,0.6635655647,0.1730826777,
666889000,0.6763009198,-0.08540479319,
672888000,0.5936315879,-0.3300772999,
678887000,0.4274087036,-0.5269405442,
684886000,0.2023494104,-0.648992674,
690885000,-0.05010296941,-0.6802761872,
696884000,-0.2941583115,-0.618894892,
702883000,-0.4977574436,-0.4752655261,
708882000,-0.6364126509,-0.2706727405,
714881000,-0.692769139,-0.03189421267,
720880000,-0.6613861012,0.2101091521,
726879000,-0.5470143128,0.4256044079,
732878000,-0.3645620715,0.586341455,
738877000,-0.1367831603,0.6727564857,
744876000,0.1074552273,0.6725117331,
750875000,0.3372296728,0.5840307106,
756874000,0.5192071487,0.4197373484,
762873000,0.6305420752,0.1993689538,
768872000,0.6539878753,-0.04640076249,
774871000,0.5871627959,-0.2839968416,
780870000,0.4383547552,-0.480180283,
786869000,0.2303376528,-0.6079297901,
792868000,-0.009268442372,-0.6517784082,
798867000,-0.2465335597,-0.6066929596,
804866000,-0.4498369949,-0.4809655412,
810865000,-0.5945683891,-0.29226279,
816864000,-0.6626039844,-0.06640587485,
822863000,-0.646606562,0.16878918,
828862000,-0.5494702838,0.382629244,
834861000,-0.3833603429,0.5488316136,
840860000,-0.1684385001,0.6459824936,
846859000,0.06794570692,0.6609130724,
852858000,0.2944121457,0.590034225,
858857000,0.4816674136,0.4428522721,
864856000,0.6039259721,0.2373023141,
870855000,0.6444830149,0.0006942491911,
876854000,0.5958230519,-0.2348000426,
882853000,0.4653309422,-0.4364262685,
888852000,0.2713203064,-0.5762210559,
894851000,0.04089046327,-0.6360274652,
900850000,-0.19441582,-0.6086074209,
906849000,-0.4023810262,-0.499933401,
912848000,-0.5566809488,-0.3250262085,
918847000,-0.6377734164,-0.1082985166,
