Frequency,S11_Real,S11_Imaginary,
1000000,0.9964268384,-0.002492723787,
6999000,0.9956121739,-0.0375710976,
12998000,0.9937520728,-0.06977332485,
18997000,0.9908442004,-0.1016105374,
24996000,0.9875999736,-0.1336221557,
30995000,0.9826275315,-0.1658075648,
36994000,0.9765874802,-0.197514025,
42993000,0.9698720988,-0.2285086879,
48992000,0.9618149074,-0.260075424,
54991000,0.9530475244,-0.2908841518,
60990000,0.9431501555,-0.322456334,
66989000,0.9323507068,-0.3526384584,
72988000,0.9208008126,-0.382562406,
78987000,0.9079192426,-0.4123504442,
84986000,0.8939990193,-0.4414424515,
90985000,0.8795467411,-0.4699886327,
96984000,0.863867407,-0.498239734,
102983000,0.8473059663,-0.5262314404,
108982000,0.8296709548,-0.5533382926,
114981000,0.8110778571,-0.580210372,
120980000,0.7921143819,-0.6057850009,
126979000,0.7721425139,-0.6311125268,
132978000,0.7513160578,-0.6555450493,
138977000,0.7295032778,-0.6797556561,
144976000,0.7068263907,-0.7027017732,
150975000,0.6839072136,-0.7250431138,
156974000,0.6598842135,-0.7469099864,
162973000,0.6355683878,-0.7676850858,
168972000,0.6103739031,-0.7875634775,
174971000,0.5846436461,-0.8068330371,
180970000,0.5583406663,-0.8251210994,
186969000,0.531045398,-0.8426433988,
192968000,0.5031724992,-0.8590876812,
198967000,0.475091646,-0.8747312147,
204966000,0.4462899175,-0.8892054365,
210965000,0.4173601108,-0.9031489441,
216964000,0.3878943827,-0.9160512827,
222963000,0.3579949276,-0.9276541069,
228962000,0.3275224675,-0.938467672,
234961000,0.2969571992,-0.9481184574,
240960000,0.2663438707,-0.9570458395,
246959000,0.2350406642,-0.9646387701,
252958000,0.2036225402,-0.9717091478,
258957000,0.1721117144,-0.9769443098,
264956000,0.1401623526,-0.9819211912,
270955000,0.1079927061,-0.9856786054,
276954000,0.07658966353,-0.9882861362,
282953000,0.04424922097,-0.9896970545,
288952000,0.0126343434,-0.9905152797,
294951000,-0.01940518936,-0.9898970869,
300950000,-0.05149304502,-0.9883374402,
306949000,-0.08360629936,-0.9858980986,
312948000,-0.1154175089,-0.9822874967,
318947000,-0.1467918154,-0.9778811103,
324946000,-0.1784714274,-0.9721797168,
330945000,-0.2093928923,-0.9659126877,
336944000,-0.240715519,-0.9581010582,
342943000,-0.2714234605,-0.9495263426,
