Frequency,S11_Real,S11_Imaginary,
1000000,-0.9978778323,0.003392323513,
6999000,-0.99449869,0.03986478366,
12998000,-0.9914484425,0.07300855678,
18997000,-0.9873342887,0.1055315265,
24996000,-0.9824468709,0.1375497921,
30995000,-0.9766113935,0.1702536494,
36994000,-0.9698343018,0.2019933224,
42993000,-0.9620752299,0.233571622,
48992000,-0.9534106753,0.2643390889,
54991000,-0.943666401,0.2949239498,
60990000,-0.932545619,0.3250925091,
66989000,-0.9209563376,0.354946083,
72988000,-0.9079763463,0.3844577702,
78987000,-0.8943709676,0.4131426005,
84986000,-0.880153032,0.4418868309,
90985000,-0.8646692351,0.4695800499,
96984000,-0.8486995947,0.4971320493,
102983000,-0.8314616515,0.5241441811,
108982000,-0.8138937107,0.5506012928,
114981000,-0.7954205391,0.5760716498,
120980000,-0.7761787617,0.6011676532,
126979000,-0.7562078266,0.6253172171,
132978000,-0.7353439612,0.6493021012,
138977000,-0.7138945721,0.6719908187,
144976000,-0.691411504,0.6947555057,
150975000,-0.6685441378,0.7162766463,
156974000,-0.645033782,0.737005195,
162973000,-0.6212930149,0.7574223438,
168972000,-0.5963569265,0.7765690652,
174971000,-0.5713196045,0.7950288885,
180970000,-0.5449936878,0.8130622908,
186969000,-0.5187345068,0.829979601,
192968000,-0.4919404572,0.8461192756,
198967000,-0.4642080706,0.8613412157,
204966000,-0.4361601947,0.8758256844,
210965000,-0.407782068,0.8893965371,
216964000,-0.3795327746,0.9017661598,
222963000,-0.3500072084,0.9134375531,
228962000,-0.3204094441,0.9240153506,
234961000,-0.2905314697,0.9340205789,
240960000,-0.2603893096,0.9428445332,
246959000,-0.2303261313,0.9506365133,
252958000,-0.1997199093,0.9574789433,
258957000,-0.1689185029,0.9634580418,
264956000,-0.1379089687,0.9680961408,
270955000,-0.1066237479,0.9723995938,
276954000,-0.07573731397,0.9749047102,
282953000,-0.04449601089,0.9769488634,
288952000,-0.01291578392,0.9780268731,
294951000,0.01816128772,0.9777358448,
300950000,0.04962327733,0.976827047,
306949000,0.08071377105,0.9750375675,
312948000,0.1117515821,0.9719410445,
318947000,0.1432264677,0.9677557741,
324946000,0.1740825389,0.9627443583,
330945000,0.2048636483,0.9565300763,
336944000,0.2352331765,0.9497345499,
342943000,0.266019877,0.9415796725,
348942000,0.2961005483,0.9325920533,
354941000,0.3257426171,0.9226992873,
360940000,0.3550811373,0.9115376709,
366939000,0.384152563,0.8998703676,
372938000,0.4131570225,0.8873953104,
378937000,0.4409813119,0.8736396092,
384936000,0.4687650377,0.85903287,
390935000,0.4963095659,0.8434919863,
396934000,0.5229720896,0.8275354496,
402933000,0.5497689787,0.8098742631,
408932000,0.5750884108,0.7919423745,
414931000,0.6004858496,0.7728106954,
420930000,0.6248661094,0.7532252643,
426929000,0.6491268167,0.7324544998,
432928000,0.6724599521,0.7114026518,
438927000,0.6947535057,0.6893641011,
444926000,0.7164320431,0.6666153219,
450925000,0.737735727,0.643396329,
456924000,0.7572879596,0.6195982557,
462923000,0.7766122795,0.5947331432,
468922000,0.7953967393,0.5691780061,
474921000,0.8128566261,0.5430747831,
480920000,0.8301547591,0.5165859407,
486919000,0.8462155278,0.4896109312,
492918000,0.8616667366,0.4620213963,
498917000,0.8761420949,0.433678108,
504916000,0.8896096357,0.4056904764,
510915000,0.9027691322,0.3764557504,
516914000,0.9137959054,0.3468705657,
522913000,0.9240311479,0.3171136391,
528912000,0.9340074719,0.2870670063,
534911000,0.9421591983,0.2567966273,
540910000,0.949787054,0.2261105503,
546909000,0.9573228815,0.194645483,
552908000,0.9620127328,0.1644037996,
558907000,0.9668119155,0.1328866137,
564906000,0.9699381695,0.1016022881,
570905000,0.9727654472,0.07011912383,
576904000,0.9737781686,0.03816552587,
582903000,0.9747727271,0.006870695714,
588902000,0.9739505436,-0.02530732595,
594901000,0.9725845826,-0.05598514755,
600900000,0.9700196177,-0.08863155771,
606899000,0.9667777,-0.119725528,
612898000,0.9620372363,-0.1516765835,
618897000,0.9558254131,-0.1819749731,
624896000,0.9493738068,-0.2136566573,
630895000,0.9420907539,-0.2437135254,
636894000,0.9336496942,-0.2742567314,
642893000,0.9236259318,-0.3048431534,
648892000,0.9129988561,-0.3341321097,
654891000,0.9014618008,-0.363325851,
660890000,0.8885337597,-0.3923128113,
666889000,0.8746411621,-0.4206808949,
672888000,0.860556826,-0.4486567672,
678887000,0.8449492565,-0.4764845504,
684886000,0.8289979078,-0.5033806382,
690885000,0.8123087478,-0.5298813011,
696884000,0.7942090329,-0.5557822443,
702883000,0.7753192811,-0.5811933169,
708882000,0.7558750196,-0.6057215099,
714881000,0.7354460147,-0.630223458,
720880000,0.7139643478,-0.6532113897,
726879000,0.6924110579,-0.6762382631,
732878000,0.6702123039,-0.6975496364,
738877000,0.6465065677,-0.7187509393,
744876000,0.6228166335,-0.7391210601,
750875000,0.5989810094,-0.758735239,
756874000,0.573392902,-0.7776287959,
762873000,0.5472522315,-0.7956125607,
768872000,0.5208278534,-0.8124515645,
774871000,0.494287579,-0.8289910473,
